,SUSHIUSDT,WAVESUSDT,Spread,Zscore,HedgeRatio
84,2.297,12.686,0.5209600000000001,0.015413686179013623,0.14
85,2.389,13.205,0.5402999999999996,0.0193039285810097,0.14
86,2.36,12.512,0.6083199999999997,0.13836495805827478,0.14
87,2.328,11.977,0.6512199999999997,0.2283005576151924,0.14
88,2.618,15.459,0.4537399999999998,-0.6905768884335703,0.14
89,2.274,13.701,0.35585999999999984,-1.2023420770458868,0.14
90,2.244,14.103,0.26958000000000015,-1.6847437005823527,0.14
91,2.143,13.189,0.2965399999999996,-1.5320061609007327,0.14
92,2.11,12.907,0.3030199999999996,-1.4414569611747863,0.14
93,1.729,12.136,0.029959999999999987,-2.288427625102519,0.14
94,1.788,11.885,0.12409999999999988,-1.7273557856179091,0.14
95,1.331,7.987,0.2128199999999998,-1.2562232399902742,0.14
96,1.144,6.722,0.20291999999999977,-1.1688612865161148,0.14
97,1.403,7.029,0.41894,-0.3349881146463068,0.14
98,1.317,7.141,0.3172599999999999,-0.6370943761915396,0.14
99,1.399,7.273,0.3807799999999999,-0.3217674445364745,0.14
100,1.267,6.485,0.35909999999999975,-0.3334770519367522,0.14
101,1.435,6.865,0.4738999999999999,0.26170533889788106,0.14
102,1.259,6.157,0.3970199999999998,-0.03167774365498978,0.14
103,1.354,6.264,0.47704,0.5270259793342613,0.14
104,1.296,5.774,0.48763999999999996,0.7213309838143906,0.14
105,1.448,5.791,0.6372599999999998,1.5723369779387149,0.14
106,1.451,5.929,0.6209399999999999,1.407133425501292,0.14
107,1.535,5.674,0.7406399999999997,1.9551131500617855,0.14
108,1.667,5.643,0.87698,2.3677434762263525,0.14
109,1.654,5.473,0.8877799999999999,2.05039229199701,0.14
110,1.477,4.858,0.79688,1.4697415922278256,0.14
111,1.423,4.419,0.80434,1.3455109934304548,0.14
112,1.528,4.423,0.9087799999999999,1.5584928953272286,0.14
113,1.498,4.46,0.8735999999999999,1.2821546440022138,0.14
114,1.691,7.589,0.6285399999999999,0.3024420665645813,0.14
115,1.877,8.995,0.6176999999999999,0.17825054761490364,0.14
116,1.627,9.222,0.33592,-1.1291324607967161,0.14
117,1.684,9.525,0.3504999999999998,-1.1509384880537818,0.14
118,1.542,9.759,0.17573999999999979,-1.7956617094749412,0.14
119,1.579,8.876,0.33636,-1.0888205414126615,0.14
120,1.55,8.109,0.4147399999999999,-0.7496006199095467,0.14
121,1.616,8.328,0.45008000000000004,-0.6201405663642698,0.14
122,1.552,7.766,0.46475999999999984,-0.5502343548522597,0.14
123,1.498,7.659,0.42574,-0.7390700544432464,0.14
124,1.484,7.809,0.39073999999999987,-0.8694041965463897,0.14
125,1.376,6.97,0.4001999999999998,-0.797794353766915,0.14
126,1.193,6.377,0.30022000000000004,-1.1360001707785388,0.14
127,1.127,5.384,0.3732399999999999,-0.7575359502120507,0.14
128,0.979,4.821,0.30406,-0.958071433936537,0.14
129,1.003,4.853,0.32357999999999987,-0.7972906768247043,0.14
130,1.112,5.178,0.3870800000000001,-0.4424632167172052,0.14
131,0.956,4.347,0.34741999999999984,-0.5612068979331947,0.14
132,1.019,4.559,0.38073999999999986,-0.3152784895692285,0.14
133,0.929,4.553,0.29157999999999995,-0.7937522753918775,0.14
134,1.043,4.79,0.37239999999999984,-0.11814934680825356,0.14
135,1.107,4.851,0.4278599999999999,0.6233891079079623,0.14
136,1.241,6.941,0.26926000000000005,-1.3165162264983958,0.14
137,1.186,5.871,0.36405999999999983,0.06707545684080406,0.14
138,1.248,6.311,0.3644599999999999,0.06316889362411043,0.14
139,1.286,6.574,0.36563999999999997,-0.06881325532924143,0.14
140,1.249,6.449,0.34614,-0.45182116934547184,0.14
141,1.146,5.907,0.31901999999999986,-0.8833773281850579,0.14
142,1.148,5.9,0.32199999999999973,-0.7531182910459827,0.14
143,1.084,5.411,0.3264600000000001,-0.6015010757330109,0.14
144,1.052,5.396,0.29655999999999993,-1.2004420339082662,0.14
145,0.99,5.072,0.27991999999999995,-1.4363892110481762,0.14
146,0.978,5.239,0.24453999999999998,-1.9706906456826656,0.14
147,0.978,5.186,0.25195999999999996,-1.6493427192871428,0.14
148,1.02,5.153,0.29857999999999996,-0.6130233369801286,0.14
149,1.093,5.503,0.32257999999999987,-0.12841908778306782,0.14
150,1.088,5.255,0.35230000000000006,0.4679502437310578,0.14
151,1.147,5.315,0.4028999999999999,1.482146791024075,0.14
152,1.181,5.595,0.39770000000000005,1.272381437787629,0.14
153,1.156,5.356,0.40615999999999985,1.3753565071486256,0.14
154,1.238,5.429,0.4779399999999999,2.251085988682677,0.14
155,1.314,5.106,0.59916,2.996886073722825,0.14
156,1.146,4.685,0.49009999999999987,1.5540912596967393,0.14
157,1.118,4.701,0.45986000000000005,1.0907127953341016,0.14
158,1.237,4.88,0.5538000000000001,1.876492361290482,0.14
159,1.39,5.086,0.6779599999999998,2.486033932308986,0.14
160,1.4,5.074,0.6896399999999999,2.1407230720198953,0.14
161,1.455,5.135,0.7361000000000001,2.078161014070909,0.14
162,1.4,5.032,0.6955199999999998,1.5926499597929389,0.14
163,1.506,5.412,0.74832,1.68310478313962,0.14
164,1.417,6.298,0.53528,0.3759725958487196,0.14
165,1.324,5.699,0.52614,0.2635109873236259,0.14
166,1.414,5.707,0.6150199999999999,0.7310487364934484,0.14
167,1.326,5.51,0.5546,0.27562983216568554,0.14
168,1.343,5.523,0.56978,0.30126889820064895,0.14
169,1.35,5.466,0.58476,0.33706494807495063,0.14
170,1.359,4.928,0.6690799999999999,0.939180473233616,0.14
171,1.274,4.996,0.5745599999999998,0.04510467634204555,0.14
172,1.382,5.384,0.6282399999999998,0.475063292144109,0.14
173,1.572,5.72,0.7712,1.7355027176586895,0.14
174,1.492,5.63,0.7038,0.9951033293994147,0.14
175,1.493,5.639,0.7035399999999999,0.9087889621495663,0.14
176,1.446,5.665,0.6528999999999999,0.3071092577779643,0.14
177,1.423,6.101,0.5688599999999999,-0.7215092924775511,0.14
178,1.361,5.73,0.5587999999999999,-0.9859833464543363,0.14
179,1.435,5.634,0.6462399999999999,0.10309513125942575,0.14
180,1.464,5.887,0.6398199999999999,0.04137613850232262,0.14
181,1.515,6.229,0.6429399999999998,0.11543494462632611,0.14
182,1.504,6.096,0.6505599999999999,0.2909637449916875,0.14
183,1.504,6.052,0.65672,0.414904985385822,0.14
184,1.565,6.14,0.7053999999999999,1.222202033239819,0.14
185,1.425,5.804,0.61244,-0.29143130682386215,0.14
186,1.583,6.103,0.7285799999999999,1.4818667147556868,0.14
187,1.535,6.067,0.6856199999999998,0.7018188950958635,0.14
188,1.565,6.126,0.7073599999999998,0.9745621196541624,0.14
189,1.535,6.096,0.6815599999999998,0.4622226128304302,0.14
190,1.483,6.07,0.6332,-0.4668015485813281,0.14
191,1.443,5.952,0.60972,-0.8380587019639434,0.14
192,1.415,5.865,0.5938999999999999,-1.1733586734569028,0.14
193,1.374,5.605,0.5892999999999999,-1.1875013604196925,0.14
194,1.303,5.355,0.5532999999999998,-1.7391035770793304,0.14
195,1.183,4.885,0.4991,-2.287118578889006,0.14
196,1.168,4.84,0.49039999999999984,-2.0683265591075526,0.14
197,1.198,4.93,0.5077999999999999,-1.585048493464689,0.14
198,1.189,4.825,0.5135,-1.4045978233557144,0.14
199,1.201,5.026,0.49736,-1.513696141212648,0.14
