,XRPUSDT,SFPUSDT,Spread,Zscore,HedgeRatio
158,0.3399,0.3589,0.0025339999999999807,-0.6938193643498621,0.94
159,0.3401,0.3604,0.0013240000000000474,-0.8831553244112309,0.94
160,0.3369,0.357,0.0013199999999999878,-0.8135414360398147,0.94
161,0.3388,0.3594,0.0009640000000000204,-0.825024222767919,0.94
162,0.3385,0.3596,0.00047600000000008746,-0.8800340351118981,0.94
163,0.3385,0.35,0.009500000000000064,1.7122459080832662,0.94
164,0.3354,0.3456,0.01053599999999999,1.9589501434183478,0.94
165,0.3337,0.3484,0.006204000000000043,0.7664357522413894,0.94
166,0.333,0.3507,0.0033420000000000116,0.02592401862137345,0.94
167,0.3328,0.356,-0.0018399999999999528,-1.4383985301101605,0.94
168,0.3331,0.3538,0.0005280000000000284,-0.6497129890228794,0.94
169,0.3341,0.3494,0.005664000000000058,0.9450267646194151,0.94
170,0.3338,0.3515,0.003390000000000004,0.23956526479912732,0.94
171,0.3331,0.3493,0.00475800000000004,0.6190813872883515,0.94
172,0.3347,0.353,0.002880000000000049,-0.010917116139189529,0.94
173,0.3354,0.352,0.004520000000000024,0.44011557150193537,0.94
174,0.3348,0.3517,0.0042019999999999835,0.2692505813335592,0.94
175,0.3334,0.3488,0.005527999999999977,0.6756247800253419,0.94
176,0.3336,0.3508,0.003848000000000018,0.0685834929437005,0.94
177,0.3361,0.354,0.003340000000000065,-0.11079418450324545,0.94
178,0.336,0.3533,0.0038980000000000126,0.08113880107720445,0.94
179,0.3391,0.3564,0.004084000000000032,0.12025359220311778,0.94
180,0.3416,0.3594,0.003764000000000045,-0.03125764194432315,0.94
181,0.3411,0.3626,0.000256000000000034,-1.2256835221731286,0.94
182,0.3404,0.3645,-0.0022300000000000098,-1.8819035154571733,0.94
183,0.3394,0.3672,-0.005768000000000051,-2.4731172121304383,0.94
184,0.3385,0.362,-0.0017799999999999483,-1.2882325966101102,0.94
185,0.3381,0.3621,-0.0022739999999999427,-1.372662689456539,0.94
186,0.3333,0.3505,0.00383,0.5503556060881905,0.94
187,0.3321,0.357,-0.003479999999999983,-1.5588375807911263,0.94
188,0.3334,0.3609,-0.005846000000000018,-2.017130816804783,0.94
189,0.3361,0.362,-0.0041799999999999615,-1.4242079341688436,0.94
190,0.3368,0.364,-0.005359999999999976,-1.540907746339148,0.94
191,0.3368,0.3642,-0.005547999999999997,-1.416718501522014,0.94
192,0.3371,0.369,-0.009759999999999991,-2.0495895956267898,0.94
193,0.3371,0.3684,-0.009195999999999982,-1.6843266412990379,0.94
194,0.339,0.3717,-0.010397999999999907,-1.6969812426788855,0.94
195,0.3403,0.3685,-0.006089999999999984,-0.7873977887874373,0.94
196,0.3392,0.3763,-0.01452199999999998,-2.098241398199136,0.94
197,0.3387,0.3714,-0.01041599999999998,-1.2275216312074078,0.94
198,0.3397,0.3709,-0.00894600000000001,-0.8735352678730763,0.94
199,0.3412,0.3732,-0.00960799999999995,-0.9159020156329343,0.94
