,JASMYUSDT,DOGEUSDT,Spread,Zscore
170,0.009,0.0663,0.0003809999999999994,-0.5724095854484317
171,0.009,0.0667,0.00032899999999999943,-1.3960207772641824
172,0.009,0.0663,0.0003809999999999994,-0.43495348256808697
173,0.0091,0.0673,0.0003510000000000006,-0.9168441649389552
174,0.0091,0.0671,0.00037699999999999886,-0.32838904649290224
175,0.0091,0.067,0.0003899999999999997,0.003174815956003732
176,0.009,0.0665,0.0003549999999999994,-0.7304194641196343
177,0.009,0.0667,0.00032899999999999943,-1.2060649202610836
178,0.0091,0.0676,0.0003120000000000015,-1.426877318814741
179,0.0091,0.0672,0.0003640000000000015,-0.23520512664062412
180,0.0091,0.0675,0.0003249999999999989,-1.0773814351700937
181,0.0093,0.0684,0.00040799999999999864,1.2161198302874077
182,0.0093,0.0686,0.0003820000000000004,0.5643796479529343
183,0.0093,0.0685,0.0003949999999999978,0.99925879341354
184,0.0093,0.0687,0.00036899999999999954,0.238861699695359
185,0.0092,0.0685,0.0002949999999999984,-1.817633943384513
186,0.0092,0.0683,0.0003210000000000001,-1.065413486294672
187,0.009,0.067,0.0002899999999999986,-1.7511599748650644
188,0.009,0.0674,0.00023799999999999863,-2.541541855982602
189,0.0092,0.068,0.0003599999999999992,0.31977914359695947
190,0.0092,0.0683,0.0003210000000000001,-0.606739292048078
191,0.0092,0.0685,0.0002949999999999984,-1.1142205378827734
192,0.0092,0.0682,0.00033399999999999923,-0.20023330749524967
193,0.0093,0.0687,0.00036899999999999954,0.6472212203460408
194,0.0092,0.0682,0.00033399999999999923,-0.1695654955627053
195,0.0092,0.0689,0.00024299999999999843,-1.9896491434025305
196,0.0093,0.0686,0.0003820000000000004,1.044249159743584
197,0.0092,0.0686,0.000282000000000001,-1.0448416773645868
198,0.0092,0.0683,0.0003210000000000001,-0.20244472155965232
199,0.0092,0.0682,0.00033399999999999923,0.05311388056220087
